"COUNTY_CODE_003"	"meanIMP"	"meanADT"	"area_code"	"fips_state"	"area_title"	"period"	"labor_force"	"employed"	"unemployed"	"unemployed_rate"	"fips"	"pre_unemployed"	"pre_rate"	"Nov_unem"	"Nov_rate"	"new_pre_rate"	"new_pre_num"
"1"	"001"	7.46341463414634	1174.43902439024	"CN5500100000000"	"55"	"Adams County, WI"	2019-12-01	7941	7484	457	5.8	"55001"	-186.19357314794	3.93200623257511	359	4.5	5.23750535731994	434.029371784061
"2"	"003"	11.8630136986301	742.228915662651	"CN5500300000000"	"55"	"Ashland County, WI"	2019-12-01	7692	7334	358	4.7	"55003"	-310.047222273253	4.03224519348979	314	4.1	4.87993850236994	404.917481711188
"3"	"005"	23.2018927444795	1532.96214511041	"CN5500500000000"	"55"	"Barron County, WI"	2019-12-01	24353	23234	1119	4.6	"55005"	60.1463859633019	3.94720285579682	790	3.3	4.03763472418637	890.744072242713
"4"	"007"	64.9247311827957	1509.55789473684	"CN5500700000000"	"55"	"Bayfield County, WI"	2019-12-01	7553	7045	508	6.7	"55007"	360.705621070038	4.16306221187408	367	4.9	5.67957964367079	444.392474198692
"5"	"009"	174.222717149221	13441.6436525612	"CN5500900000000"	"55"	"Brown County, WI"	2019-12-01	142998	138966	4032	2.8	"55009"	5489.11951992956	2.56627696716325	3841	2.7	2.69650645530415	3899.7750017498
"6"	"011"	31.7148760330579	1015.36363636364	"CN5501100000000"	"55"	"Buffalo County, WI"	2019-12-01	6528	6205	323	4.9	"55011"	-64.1471771858047	4.08370146263326	232	3.6	4.38793615402601	352.830721117762
"7"	"013"	16.9393939393939	827.515151515152	"CN5501300000000"	"55"	"Burnett County, WI"	2019-12-01	7059	6650	409	5.8	"55013"	-241.578026880174	4.04261921703384	310	4.4	5.17715791966824	392.029170824507
"8"	"015"	55.7704918032787	2765.19672131148	"CN5501500000000"	"55"	"Calumet County, WI"	2019-12-01	27269	26554	715	2.6	"55015"	747.386529670079	3.89025166276819	685	2.5	3.18976535989619	836.936968700487
"9"	"017"	111.592286501377	2681.44903581267	"CN5501700000000"	"55"	"Chippewa County, WI"	2019-12-01	33508	32013	1495	4.5	"55017"	1130.5315923583	4.18850737956473	1007	3	3.76018637991744	1136.89536173745
"10"	"019"	63.0986394557823	1005.94217687075	"CN5501900000000"	"55"	"Clark County, WI"	2019-12-01	18003	17392	611	3.4	"55019"	164.894278522769	4.24459475204353	460	2.6	3.43510427489847	612.875701567495
"11"	"021"	71.6885245901639	4701.44808743169	"CN5502100000000"	"55"	"Columbia County, WI"	2019-12-01	31667	30728	939	3	"55021"	1566.12214222919	3.62191500849196	839	2.6	3.15820918314975	994.022875808856
"12"	"023"	123.311004784689	1006.72727272727	"CN5502300000000"	"55"	"Crawford County, WI"	2019-12-01	7756	7382	374	4.8	"55023"	611.156202153076	4.5498815485627	269	3.5	4.40308219143797	416.072615654783
"13"	"025"	111.80035335689	14778.7650176678	"CN5502500000000"	"55"	"Dane County, WI"	2019-12-01	318370	311548	6822	2.1	"55025"	5510.74987550665	2.00857261792526	6865	2.1	1.90877120796938	6764.46976354653
